,origin,destination,total,year,month
LIRF,14007.0,14491.0,28498.0,2019,7
LIMC,9364.0,8175.0,17539.0,2019,7
LIME,4316.0,4387.0,8703.0,2019,7
LIPZ,4015.0,3284.0,7299.0,2019,7
LIPE,2877.0,2580.0,5457.0,2019,7
LFPG,926.0,1034.0,1960.0,2019,7
LEMD,843.0,890.0,1733.0,2019,7
LEBL,642.0,967.0,1609.0,2019,7
EDDM,616.0,679.0,1295.0,2019,7
EDDF,689.0,578.0,1267.0,2019,7
EHAM,642.0,584.0,1226.0,2019,7
EGLL,518.0,572.0,1090.0,2019,7
EGKK,546.0,524.0,1070.0,2019,7
LIBD,505.0,537.0,1042.0,2019,7
LIEE,546.0,412.0,958.0,2019,7
UUEE,458.0,495.0,953.0,2019,7
LOWW,467.0,485.0,952.0,2019,7
LIML,448.0,443.0,891.0,2019,7
EKCH,348.0,362.0,710.0,2019,7
LGAV,285.0,385.0,670.0,2019,7
KJFK,330.0,333.0,663.0,2019,7
LSZH,310.0,348.0,658.0,2019,7
EGSS,301.0,356.0,657.0,2019,7
LICJ,341.0,314.0,655.0,2019,7
LPPT,312.0,328.0,640.0,2019,7
EDDK,277.0,306.0,583.0,2019,7
LIEO,251.0,309.0,560.0,2019,7
LICA,209.0,320.0,529.0,2019,7
LIEA,249.0,266.0,515.0,2019,7
EIDW,246.0,243.0,489.0,2019,7
LLBG,217.0,267.0,484.0,2019,7
LIED,155.0,328.0,483.0,2019,7
OTHH,234.0,245.0,479.0,2019,7
EBBR,372.0,101.0,473.0,2019,7
OMDB,229.0,243.0,472.0,2019,7
LIBR,70.0,388.0,458.0,2019,7
LFPO,301.0,118.0,419.0,2019,7
LTFJ,196.0,215.0,411.0,2019,7
EDDT,191.0,214.0,405.0,2019,7
LHBP,203.0,200.0,403.0,2019,7
EDDL,185.0,205.0,390.0,2019,7
EBMB,40.0,342.0,382.0,2019,7
EFHK,177.0,195.0,372.0,2019,7
CYYZ,172.0,180.0,352.0,2019,7
LSGG,174.0,177.0,351.0,2019,7
LIMJ,171.0,175.0,346.0,2019,7
ELLX,162.0,166.0,328.0,2019,7
ENGM,154.0,162.0,316.0,2019,7
EPWA,139.0,167.0,306.0,2019,7
EGCC,147.0,153.0,300.0,2019,7
LEMG,173.0,124.0,297.0,2019,7
EGGW,138.0,155.0,293.0,2019,7
EDDH,139.0,152.0,291.0,2019,7
LIPX,137.0,141.0,278.0,2019,7
LGRP,134.0,136.0,270.0,2019,7
EDDB,126.0,139.0,265.0,2019,7
UKBB,125.0,133.0,258.0,2019,7
EDDS,124.0,131.0,255.0,2019,7
ESSA,125.0,125.0,250.0,2019,7
LIPQ,117.0,119.0,236.0,2019,7
EGGD,105.0,119.0,224.0,2019,7
SBGR,107.0,109.0,216.0,2019,7
LROP,105.0,105.0,210.0,2019,7
KORD,120.0,89.0,209.0,2019,7
RKSI,78.0,116.0,194.0,2019,7
LEZL,96.0,95.0,191.0,2019,7
LPAR,85.0,102.0,187.0,2019,7
ULLI,118.0,65.0,183.0,2019,7
EBCI,90.0,92.0,182.0,2019,7
KATL,85.0,97.0,182.0,2019,7
EGPH,76.0,105.0,181.0,2019,7
LEAL,99.0,80.0,179.0,2019,7
VHHH,103.0,74.0,177.0,2019,7
LGIR,79.0,94.0,173.0,2019,7
LFBO,83.0,87.0,170.0,2019,7
UUWW,72.0,83.0,155.0,2019,7
EVRA,72.0,83.0,155.0,2019,7
LGMK,50.0,102.0,152.0,2019,7
UKKK,72.0,76.0,148.0,2019,7
LFLL,71.0,76.0,147.0,2019,7
LFML,66.0,79.0,145.0,2019,7
LKPR,117.0,28.0,145.0,2019,7
KPHL,67.0,74.0,141.0,2019,7
LGSR,49.0,90.0,139.0,2019,7
LKVO,5.0,133.0,138.0,2019,7
LIMF,135.0,2.0,137.0,2019,7
KEWR,45.0,91.0,136.0,2019,7
LYBE,84.0,47.0,131.0,2019,7
LSZM,63.0,68.0,131.0,2019,7
LGKO,60.0,68.0,128.0,2019,7
LFPV,1.0,124.0,125.0,2019,7
EHEH,59.0,64.0,123.0,2019,7
LFBD,57.0,64.0,121.0,2019,7
SAEZ,62.0,59.0,121.0,2019,7
KLAX,68.0,49.0,117.0,2019,7
EGNX,48.0,62.0,110.0,2019,7
VIDP,53.0,53.0,106.0,2019,7
LKKL,70.0,35.0,105.0,2019,7
KIAD,52.0,51.0,103.0,2019,7
EDDP,96.0,6.0,102.0,2019,7
KBOS,49.0,47.0,96.0,2019,7
EPMO,44.0,47.0,91.0,2019,7
KLDJ,70.0,21.0,91.0,2019,7
EGLC,39.0,49.0,88.0,2019,7
OLBA,61.0,25.0,86.0,2019,7
VTBS,44.0,41.0,85.0,2019,7
LIRA,43.0,38.0,81.0,2019,7
LGKN,62.0,18.0,80.0,2019,7
OMAA,30.0,47.0,77.0,2019,7
CYUL,69.0,4.0,73.0,2019,7
LRBS,66.0,6.0,72.0,2019,7
EGMC,33.0,38.0,71.0,2019,7
EDAM,36.0,33.0,69.0,2019,7
UUDD,35.0,34.0,69.0,2019,7
EBLG,38.0,31.0,69.0,2019,7
KDFW,33.0,31.0,64.0,2019,7
LDSR,18.0,44.0,62.0,2019,7
LFPB,26.0,36.0,62.0,2019,7
LZIB,27.0,34.0,61.0,2019,7
LILG,41.0,18.0,59.0,2019,7
LFNR,46.0,10.0,56.0,2019,7
KOPF,2.0,53.0,55.0,2019,7
EGBB,27.0,27.0,54.0,2019,7
LFOB,50.0,2.0,52.0,2019,7
EDDN,26.0,26.0,52.0,2019,7
LDZA,20.0,31.0,51.0,2019,7
EGGP,21.0,27.0,48.0,2019,7
LMML,12.0,36.0,48.0,2019,7
OERK,23.0,25.0,48.0,2019,7
FAOR,28.0,20.0,48.0,2019,7
EPGD,22.0,23.0,45.0,2019,7
K06C,8.0,37.0,45.0,2019,7
GOBD,26.0,18.0,44.0,2019,7
BIKF,20.0,23.0,43.0,2019,7
LIPM,3.0,36.0,39.0,2019,7
ESKN,27.0,12.0,39.0,2019,7
LPFR,16.0,21.0,37.0,2019,7
LEZG,18.0,18.0,36.0,2019,7
EGPF,17.0,19.0,36.0,2019,7
UUBW,18.0,18.0,36.0,2019,7
LLSD,2.0,30.0,32.0,2019,7
KSFO,15.0,17.0,32.0,2019,7
LFRS,22.0,9.0,31.0,2019,7
LFMN,13.0,18.0,31.0,2019,7
LIPV,7.0,23.0,30.0,2019,7
RCTP,14.0,14.0,28.0,2019,7
ENKJ,5.0,23.0,28.0,2019,7
KOAK,13.0,13.0,26.0,2019,7
LIBC,12.0,14.0,26.0,2019,7
EPKT,20.0,5.0,25.0,2019,7
EETN,12.0,13.0,25.0,2019,7
VABB,19.0,4.0,23.0,2019,7
LEMH,2.0,21.0,23.0,2019,7
EPWR,9.0,14.0,23.0,2019,7
EDDW,11.0,11.0,22.0,2019,7
LIPL,10.0,11.0,21.0,2019,7
ESKX,2.0,19.0,21.0,2019,7
EHRD,11.0,10.0,21.0,2019,7
LFPN,1.0,19.0,20.0,2019,7
EGNT,10.0,10.0,20.0,2019,7
ENUL,8.0,12.0,20.0,2019,7
EIWT,1.0,19.0,20.0,2019,7
DAAG,15.0,5.0,20.0,2019,7
EGLF,7.0,12.0,19.0,2019,7
ESGG,10.0,8.0,18.0,2019,7
EIKN,9.0,9.0,18.0,2019,7
LKTB,9.0,9.0,18.0,2019,7
EFLP,9.0,9.0,18.0,2019,7
EGAA,17.0,1.0,18.0,2019,7
OBBI,6.0,12.0,18.0,2019,7
LJLJ,4.0,13.0,17.0,2019,7
EDFH,16.0,1.0,17.0,2019,7
EPPO,9.0,8.0,17.0,2019,7
LESL,1.0,15.0,16.0,2019,7
EICK,8.0,8.0,16.0,2019,7
EGNM,1.0,15.0,16.0,2019,7
LIPO,3.0,12.0,15.0,2019,7
EGNP,12.0,3.0,15.0,2019,7
ZGSZ,10.0,4.0,14.0,2019,7
LIRU,3.0,11.0,14.0,2019,7
LTBA,12.0,2.0,14.0,2019,7
EGKB,10.0,3.0,13.0,2019,7
EPKK,2.0,11.0,13.0,2019,7
LBWN,11.0,1.0,12.0,2019,7
LILC,5.0,7.0,12.0,2019,7
GMMN,9.0,3.0,12.0,2019,7
EDDC,7.0,5.0,12.0,2019,7
LEIB,4.0,7.0,11.0,2019,7
LIRP,3.0,8.0,11.0,2019,7
LOWS,8.0,3.0,11.0,2019,7
KCLT,6.0,5.0,11.0,2019,7
SBGL,9.0,1.0,10.0,2019,7
LCPH,5.0,5.0,10.0,2019,7
MMMX,6.0,4.0,10.0,2019,7
ZUCK,1.0,9.0,10.0,2019,7
LE85,3.0,6.0,9.0,2019,7
LRCV,2.0,7.0,9.0,2019,7
LTAC,7.0,2.0,9.0,2019,7
LIMZ,3.0,6.0,9.0,2019,7
OEDF,6.0,3.0,9.0,2019,7
LIRZ,4.0,5.0,9.0,2019,7
GMTT,5.0,4.0,9.0,2019,7
LILR,7.0,2.0,9.0,2019,7
LIPN,5.0,4.0,9.0,2019,7
LKBU,6.0,3.0,9.0,2019,7
LFMV,6.0,2.0,8.0,2019,7
ENZV,4.0,4.0,8.0,2019,7
LOWL,2.0,5.0,7.0,2019,7
LTFE,1.0,6.0,7.0,2019,7
DTTA,1.0,6.0,7.0,2019,7
LFKF,3.0,4.0,7.0,2019,7
LGSA,2.0,5.0,7.0,2019,7
ENBR,6.0,1.0,7.0,2019,7
LDPL,4.0,3.0,7.0,2019,7
CSP6,4.0,3.0,7.0,2019,7
LFFW,1.0,5.0,6.0,2019,7
LPCS,1.0,5.0,6.0,2019,7
LIPS,1.0,5.0,6.0,2019,7
LILB,3.0,3.0,6.0,2019,7
LGSM,5.0,1.0,6.0,2019,7
EINN,5.0,1.0,6.0,2019,7
LOWK,4.0,2.0,6.0,2019,7
EKBI,2.0,4.0,6.0,2019,7
EGTC,2.0,3.0,5.0,2019,7
LILQ,2.0,3.0,5.0,2019,7
LFFE,1.0,4.0,5.0,2019,7
OTBD,3.0,2.0,5.0,2019,7
LFLY,2.0,2.0,4.0,2019,7
LILV,1.0,3.0,4.0,2019,7
EBAW,1.0,3.0,4.0,2019,7
LIRE,2.0,2.0,4.0,2019,7
EGBJ,2.0,2.0,4.0,2019,7
ETNL,2.0,2.0,4.0,2019,7
EDVK,2.0,2.0,4.0,2019,7
LILN,1.0,3.0,4.0,2019,7
LFKJ,2.0,1.0,3.0,2019,7
LIAR,2.0,1.0,3.0,2019,7
EDXW,1.0,2.0,3.0,2019,7
EDJA,2.0,1.0,3.0,2019,7
EDRY,1.0,1.0,2.0,2019,7
LIQW,1.0,1.0,2.0,2019,7
RJFF,1.0,1.0,2.0,2019,7
LFFQ,1.0,1.0,2.0,2019,7
LFMA,1.0,1.0,2.0,2019,7
LFST,1.0,1.0,2.0,2019,7
LETO,1.0,1.0,2.0,2019,7
LIMG,1.0,1.0,2.0,2019,7
LFAV,1.0,1.0,2.0,2019,7
EPKS,1.0,1.0,2.0,2019,7
LIPI,1.0,1.0,2.0,2019,7
UMGG,1.0,1.0,2.0,2019,7
LPBJ,1.0,1.0,2.0,2019,7
LIDU,1.0,1.0,2.0,2019,7
EGHL,1.0,1.0,2.0,2019,7
LEJR,1.0,1.0,2.0,2019,7
LFLP,1.0,1.0,2.0,2019,7
EDQY,1.0,1.0,2.0,2019,7
LDDU,1.0,1.0,2.0,2019,7
NJ25,1.0,1.0,2.0,2019,7
LIMP,1.0,1.0,2.0,2019,7
ETOU,1.0,1.0,2.0,2019,7
EDAZ,1.0,1.0,2.0,2019,7
EBKT,1.0,1.0,2.0,2019,7
LILI,1.0,1.0,2.0,2019,7
LL59,55.0,,,2019,7
GA95,23.0,,,2019,7
RPLS,10.0,,,2019,7
RPLL,9.0,,,2019,7
EGPJ,6.0,,,2019,7
WMKK,6.0,,,2019,7
89GE,5.0,,,2019,7
EDSB,5.0,,,2019,7
VOMM,5.0,,,2019,7
LIPH,4.0,,,2019,7
LBSF,4.0,,,2019,7
LDSP,3.0,,,2019,7
EHBK,3.0,,,2019,7
FACT,3.0,,,2019,7
EDCU,3.0,,,2019,7
LSZA,3.0,,,2019,7
YMML,3.0,,,2019,7
GBYD,3.0,,,2019,7
OMSJ,2.0,,,2019,7
EDNY,2.0,,,2019,7
LKSN,2.0,,,2019,7
OETH,2.0,,,2019,7
EDTM,2.0,,,2019,7
51GA,2.0,,,2019,7
KTEB,2.0,,,2019,7
KIAH,2.0,,,2019,7
LSZR,2.0,,,2019,7
LBWV,2.0,,,2019,7
GMMT,2.0,,,2019,7
YBBN,2.0,,,2019,7
GVAC,2.0,,,2019,7
LIMB,2.0,,,2019,7
YSSY,2.0,,,2019,7
CMN3,2.0,,,2019,7
VNKT,2.0,,,2019,7
EGNR,1.0,,,2019,7
VAJJ,1.0,,,2019,7
LEPA,1.0,,,2019,7
LFHC,1.0,,,2019,7
LIAA,1.0,,,2019,7
EPMR,1.0,,,2019,7
OMAD,1.0,,,2019,7
LEGE,1.0,,,2019,7
EFSA,1.0,,,2019,7
EDFE,1.0,,,2019,7
RI07,1.0,,,2019,7
LEVC,1.0,,,2019,7
KSJC,1.0,,,2019,7
GA94,1.0,,,2019,7
LIRV,1.0,,,2019,7
EDLV,1.0,,,2019,7
LFBF,1.0,,,2019,7
VMMC,1.0,,,2019,7
EDDR,1.0,,,2019,7
EDDE,1.0,,,2019,7
RJTT,1.0,,,2019,7
EDLW,1.0,,,2019,7
KMDW,1.0,,,2019,7
EDLP,1.0,,,2019,7
LIPB,1.0,,,2019,7
EDLE,1.0,,,2019,7
LFRM,1.0,,,2019,7
LFQA,1.0,,,2019,7
GQNO,1.0,,,2019,7
LSMD,1.0,,,2019,7
ETHN,1.0,,,2019,7
LFPZ,1.0,,,2019,7
EBMO,1.0,,,2019,7
URWA,1.0,,,2019,7
LILE,1.0,,,2019,7
LSTR,1.0,,,2019,7
LFOV,1.0,,,2019,7
KBEH,1.0,,,2019,7
YKBN,1.0,,,2019,7
LFLB,1.0,,,2019,7
LFRC,1.0,,,2019,7
LTBW,,384.0,,2019,7
LICP,,149.0,,2019,7
EDCT,,129.0,,2019,7
LIMA,,126.0,,2019,7
LIMN,,113.0,,2019,7
EGKR,,101.0,,2019,7
LICR,,77.0,,2019,7
CYHU,,60.0,,2019,7
ULLP,,59.0,,2019,7
LFPL,,51.0,,2019,7
LFPC,,48.0,,2019,7
LYBT,,38.0,,2019,7
EDDV,,32.0,,2019,7
LLHZ,,29.0,,2019,7
LFMY,,27.0,,2019,7
LFFI,,21.0,,2019,7
LIDC,,19.0,,2019,7
LKHV,,17.0,,2019,7
EGAC,,17.0,,2019,7
LGNX,,16.0,,2019,7
LFRI,,16.0,,2019,7
KHHR,,15.0,,2019,7
EPKM,,14.0,,2019,7
LKLT,,14.0,,2019,7
LEMU,,13.0,,2019,7
RJBB,,11.0,,2019,7
25GA,,10.0,,2019,7
4GE2,,10.0,,2019,7
LIBG,,10.0,,2019,7
OJAM,,8.0,,2019,7
LIQG,,8.0,,2019,7
EDOW,,7.0,,2019,7
LFDQ,,7.0,,2019,7
OMDW,,7.0,,2019,7
LGZA,,6.0,,2019,7
LIRQ,,6.0,,2019,7
LFDH,,6.0,,2019,7
LGSO,,5.0,,2019,7
EDTB,,5.0,,2019,7
CLA2,,5.0,,2019,7
LIPU,,5.0,,2019,7
LGPA,,5.0,,2019,7
CSB3,,4.0,,2019,7
LYSM,,4.0,,2019,7
RJAK,,4.0,,2019,7
RJAH,,3.0,,2019,7
EKVD,,3.0,,2019,7
LLTN,,3.0,,2019,7
LIQL,,3.0,,2019,7
EPLE,,3.0,,2019,7
EDMO,,3.0,,2019,7
LICB,,3.0,,2019,7
LFMD,,2.0,,2019,7
CYZD,,2.0,,2019,7
EDFM,,2.0,,2019,7
LIDP,,2.0,,2019,7
LIVV,,2.0,,2019,7
EIBA,,2.0,,2019,7
EDOP,,2.0,,2019,7
EGTK,,2.0,,2019,7
NJ72,,2.0,,2019,7
NC29,,2.0,,2019,7
LIDG,,2.0,,2019,7
SBRJ,,2.0,,2019,7
LTBU,,2.0,,2019,7
LSZB,,2.0,,2019,7
LIQS,,2.0,,2019,7
LKRY,,2.0,,2019,7
EDPI,,2.0,,2019,7
LOIH,,2.0,,2019,7
EPZR,,2.0,,2019,7
EDBP,,2.0,,2019,7
LSZV,,2.0,,2019,7
KSWF,,1.0,,2019,7
RPLC,,1.0,,2019,7
EDTL,,1.0,,2019,7
LIRH,,1.0,,2019,7
FATA,,1.0,,2019,7
EGFF,,1.0,,2019,7
LTAE,,1.0,,2019,7
OMDM,,1.0,,2019,7
LFDT,,1.0,,2019,7
LIAP,,1.0,,2019,7
LFHJ,,1.0,,2019,7
LIPF,,1.0,,2019,7
SBMT,,1.0,,2019,7
EGTB,,1.0,,2019,7
LFFG,,1.0,,2019,7
LGRD,,1.0,,2019,7
LFCX,,1.0,,2019,7
EDVE,,1.0,,2019,7
ENSO,,1.0,,2019,7
LIDR,,1.0,,2019,7
HEGR,,1.0,,2019,7
EYRD,,1.0,,2019,7
KBKL,,1.0,,2019,7
CYMX,,1.0,,2019,7
KHPN,,1.0,,2019,7
EDCR,,1.0,,2019,7
EPKW,,1.0,,2019,7
LIAT,,1.0,,2019,7
USSS,,1.0,,2019,7
LOWG,,1.0,,2019,7
44NC,,1.0,,2019,7
EDGI,,1.0,,2019,7
NY09,,1.0,,2019,7
GVBA,,1.0,,2019,7
FABA,,1.0,,2019,7
EDLR,,1.0,,2019,7
EDWM,,1.0,,2019,7
UKKT,,1.0,,2019,7
LGML,,1.0,,2019,7
Z19O,,1.0,,2019,7
EGCN,,1.0,,2019,7
GA02,,1.0,,2019,7
EGHR,,1.0,,2019,7
UUMO,,1.0,,2019,7
EHTW,,1.0,,2019,7
UUML,,1.0,,2019,7
EDOT,,1.0,,2019,7
SDMC,,1.0,,2019,7
LICZ,,1.0,,2019,7
LFQJ,,1.0,,2019,7
EFMA,,1.0,,2019,7
KLCK,,1.0,,2019,7
EGPK,,1.0,,2019,7
EKRK,,1.0,,2019,7
LDPM,,1.0,,2019,7
EDKB,,1.0,,2019,7
LFOX,,1.0,,2019,7
EDOE,,1.0,,2019,7
LDRG,,1.0,,2019,7
MI84,,1.0,,2019,7
LPEV,,1.0,,2019,7
CSS3,,1.0,,2019,7
EDMP,,1.0,,2019,7
KCAE,,1.0,,2019,7
EKAH,,1.0,,2019,7
UUWE,,1.0,,2019,7
LIAQ,,1.0,,2019,7
OBKH,,1.0,,2019,7
VA16,,1.0,,2019,7
EDMA,,1.0,,2019,7
UKKM,,1.0,,2019,7
EGHI,,1.0,,2019,7
KRUQ,,1.0,,2019,7
KRDU,,1.0,,2019,7
LDPV,,1.0,,2019,7
LR80,,1.0,,2019,7
LIDH,,1.0,,2019,7
WSSS,,1.0,,2019,7
